id,sex,side,fluxo,cc,cp,ap,p,tempo ,segundos,vm,cm.s,peso_p_antes,peso_depois,musc1,peso_individuo,peso_quel_total,peso_propodo,porcent1
M1,male,left,s,22.24,15.04,8.72,16.79933333,2870,2.870,0.003484321,3.484320557,0.0754,0.025266667,0.050133333,4.3213,0.6042,0.3284,0.139819036
M2,male,left,s,15.46,9.69,5.49,11.685,5491,5.491,0.001821162,1.821161901,0.024533333,0.010833333,0.0137,1.5251,0.1664,0.0859,0.1091076
M3,male,left,s,17.55,11.18,6.45,14.16933333,3610,3.610,0.002770083,2.770083102,0.0366,0.0144,0.0222,2.0582,0.2685,0.1422,0.130453795
M4,male,left,s,17.05,10.57,5.98,13.176,3326,3.326,0.003006615,3.006614552,0.032033333,0.0136,0.018433333,2.0214,0.2326,0.1167,0.115068764
M6,male,left,s,21.63,20.42,11.83,17.719,3274,3.274,0.003054368,3.054367746,0.081366667,0.034566667,0.0468,5.2885,1.3001,0.8611,0.245835303
M7,male,left,s,20.13,13.94,8.08,16.00766667,2930,2.930,0.003412969,3.412969283,0.055066667,0.017966667,0.0371,3.2406,0.4792,0.2653,0.147873851
M8,male,left,s,18.06,11.56,6.82,14.36766667,3032,3.032,0.003298153,3.298153034,0.0369,0.0132,0.0237,2.3771,0.3037,0.1621,0.127760717
M9,male,left,s,17.76,12.3,7.12,14.50166667,3251,3.251,0.003075977,3.075976623,0.038733333,0.0143,0.024433333,2.4608,0.3121,0.176,0.126828674
M10,male,left,s,21.15,13.99,8.45,15.35366667,3001,3.001,0.003332223,3.332222592,0.056266667,0.022533333,0.033733333,3.9039,0.5575,0.3042,0.142805912
M11,male,left,s,23.08,18.89,10.73,16.57733333,2635,2.635,0.003795066,3.795066414,0.068433333,0.0277,0.040733333,4.999,1.0203,0.655,0.20410082
M12,male,left,s,24.02,17.64,10.29,18.27933333,2352,2.352,0.004251701,4.25170068,0.081133333,0.025866667,0.055266667,5.2287,0.8864,0.5265,0.169525886
M13,male,left,s,19.3,13.54,7.77,14.77033333,2716,2.716,0.003681885,3.681885125,0.045766667,0.0139,0.031866667,2.9673,0.4403,0.244,0.148384053
M14,male,left,s,21.86,15.19,8.8,16.241,2506,2.506,0.003990423,3.990422985,0.061466667,0.023166667,0.0383,3.9056,0.5852,0.3416,0.149836133
M15,male,left,s,21.08,14.84,8.48,16.378,2747,2.747,0.003640335,3.640334911,0.059466667,0.0233,0.036166667,3.6227,0.5565,0.3171,0.153614707
M16,male,left,s,23.89,16.34,9.89,18.05166667,2637,2.637,0.003792188,3.792188093,0.081733333,0.025633333,0.0561,5.1062,0.7576,0.4315,0.14836865
M17,male,left,s,24.05,21.03,12.09,19.82366667,3542,3.542,0.002823264,2.823263693,0.079133333,0.031033333,0.0481,6.1694,1.4136,0.9338,0.229130872
M18,male,left,s,22.87,17.7,10.56,18.35266667,2819,2.819,0.003547357,3.547357219,0.071233333,0.031266667,0.039966667,4.9208,1.0126,0.6486,0.205779548
M20,male,left,s,22.21,17.73,15.54,17.63866667,4712,4.712,0.002122241,2.122241087,0.084233333,0.0344,0.049833333,5.2063,1.0152,0.6429,0.194994526
M22,male,left,s,22.46,15.6,8.94,16.37766667,2301,2.301,0.004345937,4.345936549,0.0663,0.022466667,0.043833333,4.1229,0.6262,0.3482,0.151883383
M24,male,left,s,20.54,13.64,7.55,15.90533333,2376,2.376,0.004208754,4.208754209,0.0467,0.018233333,0.028466667,3.1553,0.4097,0.2229,0.129845023
M25,male,left,s,22.14,13.94,8.17,16.79733333,2805,2.805,0.003565062,3.565062389,0.064033333,0.023933333,0.0401,3.7357,0.492,0.2764,0.131702224
M27,male,left,s,21.48,17.09,10.41,17.045,2843,2.843,0.003517411,3.517411185,0.070633333,0.028966667,0.041666667,4.4599,0.971,0.6272,0.217717886
M28,male,left,s,24.22,17.82,10.93,18.61033333,2458,2.458,0.004068348,4.068348251,0.090366667,0.030866667,0.0595,6.1083,1.0399,0.6301,0.170243767
M29,male,left,s,23.2,16.18,9.57,18.378,2019,2.019,0.004952947,4.952947003,0.080066667,0.0318,0.048266667,4.928,0.7889,0.4638,0.160085227
M30,male,left,s,24.05,20.85,12.67,19.94033333,2944,2.944,0.003396739,3.39673913,0.1016,0.041,0.0606,6.8321,1.6727,1.1078,0.244829555
M31,male,left,s,23.85,19.53,12.22,19.346,2117,2.117,0.004723666,4.723665564,0.095866667,0.042033333,0.053833333,6.1297,1.4015,0.8961,0.22864088
M32,male,left,s,19.14,11.68,6.62,14.46666667,2594,2.594,0.00385505,3.855050116,0.042333333,0.015466667,0.026866667,2.3704,0.322,0.153,0.135842052
M33,male,left,s,18.5,11.96,6.92,15.63566667,3151,3.151,0.003173596,3.173595684,0.037733333,0.015233333,0.0225,2.4093,0.2946,0.1668,0.12227618
M34,male,left,s,21.9,14.78,8.72,18.08766667,2319,2.319,0.004312204,4.312203536,0.074466667,0.029,0.045466667,4.1406,0.5919,0.03152,0.142950297
M36,male,left,s,22.26,16.5,9.84,17.87633333,2100,2.100,0.004761905,4.761904762,0.071133333,0.0179,0.053233333,4.0859,0.7482,0.4312,0.183117551
M37,male,left,s,20.09,16.34,9.36,16.59266667,2314,2.314,0.004321521,4.321521175,0.057633333,0.0243,0.033333333,3.3075,0.7041,0.4427,0.212879819
M1,male,right,s,22.24,13.37,7.11,16.88533333,2870,2.870,0.003484321,3.484320557,0.071566667,0.024633333,0.046933333,4.3213,0.4365,0.194,0.10101127
M2,male,right,s,15.46,8.71,4.74,12.332,5491,5.491,0.001821162,1.821161901,0.0245,0.0111,0.0134,1.5251,0.1664,0.0859,0.1091076
M3,male,right,s,17.55,10.24,5.59,13.96733333,3610,3.610,0.002770083,2.770083102,0.037033333,0.014433333,0.0226,2.0582,0.2685,0.1422,0.130453795
M4,male,right,s,17.05,9.96,5.8,13.094,3326,3.326,0.003006615,3.006614552,0.031766667,0.013466667,0.0183,2.0214,0.2326,0.1167,0.115068764
M6,male,right,s,21.63,17.14,9.62,18.557,3274,3.274,0.003054368,3.054367746,0.080233333,0.034833333,0.0454,5.2885,1.3001,0.8611,0.245835303
M7,male,right,s,20.13,10.96,6.64,16.57733333,2930,2.930,0.003412969,3.412969283,0.055333333,0.018466667,0.036866667,3.2406,0.4792,0.2653,0.147873851
M8,male,right,s,18.06,10.42,5.97,13.99666667,3032,3.032,0.003298153,3.298153034,0.036866667,0.014133333,0.022733333,2.3771,0.3037,0.1621,0.127760717
M9,male,right,s,17.76,10.64,5.91,14.69966667,3251,3.251,0.003075977,3.075976623,0.037733333,0.013733333,0.024,2.4608,0.3121,0.176,0.126828674
M10,male,right,s,21.15,12.23,6.99,15.29733333,3001,3.001,0.003332223,3.332222592,0.055733333,0.0227,0.033033333,3.9039,0.3696,0.1604,0.094674556
M11,male,right,s,23.08,16.61,8.9,17.759,2635,2.635,0.003795066,3.795066414,0.064433333,0.027266667,0.037166667,4.999,0.6763,0.3663,0.135287057
M12,male,right,s,24.02,14.97,8.28,17.948,2352,2.352,0.004251701,4.25170068,0.080766667,0.025033333,0.055733333,5.2287,0.5527,0.2438,0.105705051
M13,male,right,s,19.3,11.71,6.58,14.48166667,2716,2.716,0.003681885,3.681885125,0.046066667,0.013933333,0.032133333,2.9673,0.2964,0.1342,0.099888788
M14,male,right,s,21.86,13.24,7.23,16.05766667,2506,2.506,0.003990423,3.990422985,0.062,0.022933333,0.039066667,3.9056,0.4196,0.1838,0.107435477
M15,male,right,s,21.08,12.86,7.21,16.53,2747,2.747,0.003640335,3.640334911,0.057733333,0.022166667,0.035566667,3.6227,0.3743,0.1681,0.103320728
M16,male,right,s,23.89,14.74,8.28,17.70733333,2637,2.637,0.003792188,3.792188093,0.0813,0.025433333,0.055866667,5.1062,0.5321,0.2392,0.104206651
M17,male,right,s,24.05,18.53,9.76,20.27433333,3542,3.542,0.002823264,2.823263693,0.081933333,0.0321,0.049833333,6.1694,0.8832,0.492,0.143158168
M18,male,right,s,22.87,15.75,8.87,17.987,2819,2.819,0.003547357,3.547357219,0.0746,0.032033333,0.042566667,4.9208,0.674,0.0354,0.136969598
M20,male,right,s,22.21,15.54,9.1,17.90133333,4712,4.712,0.002122241,2.122241087,0.079866667,0.0333,0.046566667,5.2063,0.6796,0.3561,0.130534161
M22,male,right,s,22.46,13.98,7.65,16.231,2301,2.301,0.004345937,4.345936549,0.066566667,0.023633333,0.042933333,4.1229,0.4336,0.1898,0.105168692
M24,male,right,s,20.54,12.6,6.58,15.92,2376,2.376,0.004208754,4.208754209,0.045933333,0.018666667,0.027266667,3.1553,0.3049,0.1354,0.096631065
M25,male,right,s,22.14,12.28,7.28,16.56833333,2805,2.805,0.003565062,3.565062389,0.061266667,0.023066667,0.0382,3.7357,0.3624,0.1634,0.097009931
M27,male,right,s,21.48,13.85,8.23,16.58533333,2843,2.843,0.003517411,3.517411185,0.0684,0.028266667,0.040133333,4.4599,0.5388,0.2695,0.120809884
M28,male,right,s,24.22,15.7,9.22,19.56466667,2458,2.458,0.004068348,4.068348251,0.090666667,0.030033333,0.060633333,6.1083,0.6825,0.3186,0.111733215
M29,male,right,s,23.2,14.52,8.23,17.894,2019,2.019,0.004952947,4.952947003,0.0788,0.031766667,0.047033333,4.928,0.5557,0.2284,0.112763799
M30,male,right,s,24.05,18.19,10.87,19.28366667,2944,2.944,0.003396739,3.39673913,0.094833333,0.0377,0.057133333,6.8321,1.0651,0.5894,0.15589643
M31,male,right,s,23.85,16.9,9.94,18.61033333,2117,2.117,0.004723666,4.723665564,0.093666667,0.042266667,0.0514,6.1297,0.8958,0.4646,0.14614092
M32,male,right,s,19.14,10.29,6.04,14.52633333,2594,2.594,0.00385505,3.855050116,0.039233333,0.014566667,0.024666667,2.3704,0.2322,0.0949,0.097958151
M33,male,right,s,18.5,10.92,6.14,14.92533333,3151,3.151,0.003173596,3.173595684,0.037966667,0.016,0.021966667,2.4093,0.2235,0.1049,0.092765534
M34,male,right,s,21.9,13.53,7.44,17.66666667,2319,2.319,0.004312204,4.312203536,0.068933333,0.027133333,0.0418,4.1406,0.4392,0.1931,0.106071584
M36,male,right,s,22.26,14.32,7.98,17.53466667,2100,2.100,0.004761905,4.761904762,0.0672,0.0172,0.05,4.0859,0.4519,0.2107,0.110599868
M37,male,right,s,20.09,12.57,7.47,17.215,2314,2.314,0.004321521,4.321521175,0.0574,0.024233333,0.033166667,3.3075,0.4133,0.2079,0.124958428
M1,male,left,c,22.24,15.04,8.72,16.79933333,2940,2.940,0.003401361,3.401360544,0.0754,0.025266667,0.050133333,4.3213,0.6042,0.3284,0.139819036
M2,male,left,c,15.46,9.69,5.49,11.685,3816,3.816,0.002620545,2.620545073,0.024533333,0.010833333,0.0137,1.5251,0.1664,0.0859,0.1091076
M3,male,left,c,17.55,11.18,6.45,14.16933333,3358,3.358,0.002977963,2.977963073,0.0366,0.0144,0.0222,2.0582,0.2685,0.1422,0.130453795
M4,male,left,c,17.05,10.57,5.98,13.176,3510,3.510,0.002849003,2.849002849,0.032033333,0.0136,0.018433333,2.0214,0.2326,0.1167,0.115068764
M6,male,left,c,21.63,20.42,11.83,17.719,2916,2.916,0.003429355,3.429355281,0.081366667,0.034566667,0.0468,5.2885,1.3001,0.8611,0.245835303
M7,male,left,c,20.13,13.94,8.08,16.00766667,3746,3.746,0.002669514,2.669514148,0.055066667,0.017966667,0.0371,3.2406,0.4792,0.2653,0.147873851
M8,male,left,c,18.06,11.56,6.82,14.36766667,4015,4.015,0.00249066,2.490660025,0.0369,0.0132,0.0237,2.3771,0.3037,0.1621,0.127760717
M9,male,left,c,17.76,12.3,7.12,14.50166667,3117,3.117,0.003208213,3.208213025,0.038733333,0.0143,0.024433333,2.4608,0.3121,0.176,0.126828674
M10,male,left,c,21.15,13.99,8.45,15.35366667,2970,2.970,0.003367003,3.367003367,0.056266667,0.022533333,0.033733333,3.9039,0.5575,0.3042,0.142805912
M11,male,left,c,23.08,18.89,10.73,16.57733333,2547,2.547,0.003926188,3.926187672,0.068433333,0.0277,0.040733333,4.999,1.0203,0.655,0.20410082
M12,male,left,c,24.02,17.64,10.29,18.27933333,2421,2.421,0.004130525,4.130524577,0.081133333,0.025866667,0.055266667,5.2287,0.8864,0.5265,0.169525886
M13,male,left,c,19.3,13.54,7.77,14.77033333,2453,2.453,0.004076641,4.076640848,0.045766667,0.0139,0.031866667,2.9673,0.4403,0.244,0.148384053
M14,male,left,c,21.86,15.19,8.8,16.241,2907,2.907,0.003439972,3.43997248,0.061466667,0.023166667,0.0383,3.9056,0.5852,0.3416,0.149836133
M15,male,left,c,21.08,14.84,8.48,16.378,3139,3.139,0.003185728,3.185727939,0.059466667,0.0233,0.036166667,3.6227,0.5565,0.3171,0.153614707
M16,male,left,c,23.89,16.34,9.89,18.05166667,1994,1.994,0.005015045,5.015045135,0.081733333,0.025633333,0.0561,5.1062,0.7576,0.4315,0.14836865
M17,male,left,c,24.05,21.03,12.09,19.82366667,6053,6.053,0.001652073,1.652073352,0.079133333,0.031033333,0.0481,6.1694,1.4136,0.9338,0.229130872
M18,male,left,c,22.87,17.7,10.56,18.35266667,3347,3.347,0.00298775,2.987750224,0.071233333,0.031266667,0.039966667,4.9208,1.0126,0.6486,0.205779548
M20,male,left,c,22.21,17.73,15.54,17.63866667,2610,2.610,0.003831418,3.831417625,0.084233333,0.0344,0.049833333,5.2063,1.0152,0.6429,0.194994526
M22,male,left,c,22.46,15.6,8.94,16.37766667,2324,2.324,0.004302926,4.30292599,0.0663,0.022466667,0.043833333,4.1229,0.6262,0.3482,0.151883383
M24,male,left,c,20.54,13.64,7.55,15.90533333,2826,2.826,0.00353857,3.538570418,0.0467,0.018233333,0.028466667,3.1553,0.4097,0.2229,0.129845023
M25,male,left,c,22.14,13.94,8.17,16.79733333,2452,2.452,0.004078303,4.078303426,0.064033333,0.023933333,0.0401,3.7357,0.492,0.2764,0.131702224
M27,male,left,c,21.48,17.09,10.41,17.045,2712,2.712,0.003687316,3.687315634,0.070633333,0.028966667,0.041666667,4.4599,0.971,0.6272,0.217717886
M28,male,left,c,24.22,17.82,10.93,18.61033333,2164,2.164,0.004621072,4.621072089,0.090366667,0.030866667,0.0595,6.1083,1.0399,0.6301,0.170243767
M29,male,left,c,23.2,16.18,9.57,18.378,2104,2.104,0.004752852,4.752851711,0.080066667,0.0318,0.048266667,4.928,0.7889,0.4638,0.160085227
M30,male,left,c,24.05,20.85,12.67,19.94033333,3400,3.400,0.002941176,2.941176471,0.1016,0.041,0.0606,6.8321,1.6727,1.1078,0.244829555
M31,male,left,c,23.85,19.53,12.22,19.346,3221,3.221,0.003104626,3.104625893,0.095866667,0.042033333,0.053833333,6.1297,1.4015,0.8961,0.22864088
M32,male,left,c,19.14,11.68,6.62,14.46666667,2526,2.526,0.003958828,3.958828187,0.042333333,0.015466667,0.026866667,2.3704,0.322,0.153,0.135842052
M33,male,left,c,18.5,11.96,6.92,15.63566667,2258,2.258,0.004428698,4.428697963,0.037733333,0.015233333,0.0225,2.4093,0.2946,0.1668,0.12227618
M34,male,left,c,21.9,14.78,8.72,18.08766667,1980,1.980,0.005050505,5.050505051,0.074466667,0.029,0.045466667,4.1406,0.5919,0.03152,0.142950297
M36,male,left,c,22.26,16.5,9.84,17.87633333,2873,2.873,0.003480682,3.480682214,0.071133333,0.0179,0.053233333,4.0859,0.7482,0.4312,0.183117551
M37,male,left,c,20.09,16.34,9.36,16.59266667,2108,2.108,0.004743833,4.743833017,0.057633333,0.0243,0.033333333,3.3075,0.7041,0.4427,0.212879819
M1,male,right,c,22.24,13.37,7.11,16.88533333,2940,2.940,0.003401361,3.401360544,0.071566667,0.024633333,0.046933333,4.3213,0.4365,0.194,0.10101127
M2,male,right,c,15.46,8.71,4.74,12.332,3816,3.816,0.002620545,2.620545073,0.0245,0.0111,0.0134,1.5251,0.1664,0.0859,0.1091076
M3,male,right,c,17.55,10.24,5.59,13.96733333,3358,3.358,0.002977963,2.977963073,0.037033333,0.014433333,0.0226,2.0582,0.2685,0.1422,0.130453795
M4,male,right,c,17.05,9.96,5.8,13.094,3510,3.510,0.002849003,2.849002849,0.031766667,0.013466667,0.0183,2.0214,0.2326,0.1167,0.115068764
M6,male,right,c,21.63,17.14,9.62,18.557,2916,2.916,0.003429355,3.429355281,0.080233333,0.034833333,0.0454,5.2885,1.3001,0.8611,0.245835303
M7,male,right,c,20.13,10.96,6.64,16.57733333,3746,3.746,0.002669514,2.669514148,0.055333333,0.018466667,0.036866667,3.2406,0.4792,0.2653,0.147873851
M8,male,right,c,18.06,10.42,5.97,13.99666667,4015,4.015,0.00249066,2.490660025,0.036866667,0.014133333,0.022733333,2.3771,0.3037,0.1621,0.127760717
M9,male,right,c,17.76,10.64,5.91,14.69966667,3117,3.117,0.003208213,3.208213025,0.037733333,0.013733333,0.024,2.4608,0.3121,0.176,0.126828674
M10,male,right,c,21.15,12.23,6.99,15.29733333,2970,2.970,0.003367003,3.367003367,0.055733333,0.0227,0.033033333,3.9039,0.3696,0.1604,0.094674556
M11,male,right,c,23.08,16.61,8.9,17.759,2547,2.547,0.003926188,3.926187672,0.064433333,0.027266667,0.037166667,4.999,0.6763,0.3663,0.135287057
M12,male,right,c,24.02,14.97,8.28,17.948,2421,2.421,0.004130525,4.130524577,0.080766667,0.025033333,0.055733333,5.2287,0.5527,0.2438,0.105705051
M13,male,right,c,19.3,11.71,6.58,14.48166667,2453,2.453,0.004076641,4.076640848,0.046066667,0.013933333,0.032133333,2.9673,0.2964,0.1342,0.099888788
M14,male,right,c,21.86,13.24,7.23,16.05766667,2907,2.907,0.003439972,3.43997248,0.062,0.022933333,0.039066667,3.9056,0.4196,0.1838,0.107435477
M15,male,right,c,21.08,12.86,7.21,16.53,3139,3.139,0.003185728,3.185727939,0.057733333,0.022166667,0.035566667,3.6227,0.3743,0.1681,0.103320728
M16,male,right,c,23.89,14.74,8.28,17.70733333,1994,1.994,0.005015045,5.015045135,0.0813,0.025433333,0.055866667,5.1062,0.5321,0.2392,0.104206651
M17,male,right,c,24.05,18.53,9.76,20.27433333,6053,6.053,0.001652073,1.652073352,0.081933333,0.0321,0.049833333,6.1694,0.8832,0.492,0.143158168
M18,male,right,c,22.87,15.75,8.87,17.987,3347,3.347,0.00298775,2.987750224,0.0746,0.032033333,0.042566667,4.9208,0.674,0.0354,0.136969598
M20,male,right,c,22.21,15.54,9.1,17.90133333,2610,2.610,0.003831418,3.831417625,0.079866667,0.0333,0.046566667,5.2063,0.6796,0.3561,0.130534161
M22,male,right,c,22.46,13.98,7.65,16.231,2324,2.324,0.004302926,4.30292599,0.066566667,0.023633333,0.042933333,4.1229,0.4336,0.1898,0.105168692
M24,male,right,c,20.54,12.6,6.58,15.92,2826,2.826,0.00353857,3.538570418,0.045933333,0.018666667,0.027266667,3.1553,0.3049,0.1354,0.096631065
M25,male,right,c,22.14,12.28,7.28,16.56833333,2452,2.452,0.004078303,4.078303426,0.061266667,0.023066667,0.0382,3.7357,0.3624,0.1634,0.097009931
M27,male,right,c,21.48,13.85,8.23,16.58533333,2712,2.712,0.003687316,3.687315634,0.0684,0.028266667,0.040133333,4.4599,0.5388,0.2695,0.120809884
M28,male,right,c,24.22,15.7,9.22,19.56466667,2164,2.164,0.004621072,4.621072089,0.090666667,0.030033333,0.060633333,6.1083,0.6825,0.3186,0.111733215
M29,male,right,c,23.2,14.52,8.23,17.894,2104,2.104,0.004752852,4.752851711,0.0788,0.031766667,0.047033333,4.928,0.5557,0.2284,0.112763799
M30,male,right,c,24.05,18.19,10.87,19.28366667,3400,3.400,0.002941176,2.941176471,0.094833333,0.0377,0.057133333,6.8321,1.0651,0.5894,0.15589643
M31,male,right,c,23.85,16.9,9.94,18.61033333,3221,3.221,0.003104626,3.104625893,0.093666667,0.042266667,0.0514,6.1297,0.8958,0.4646,0.14614092
M32,male,right,c,19.14,10.29,6.04,14.52633333,2526,2.526,0.003958828,3.958828187,0.039233333,0.014566667,0.024666667,2.3704,0.2322,0.0949,0.097958151
M33,male,right,c,18.5,10.92,6.14,14.92533333,2258,2.258,0.004428698,4.428697963,0.037966667,0.016,0.021966667,2.4093,0.2235,0.1049,0.092765534
M34,male,right,c,21.9,13.53,7.44,17.66666667,1980,1.980,0.005050505,5.050505051,0.068933333,0.027133333,0.0418,4.1406,0.4392,0.1931,0.106071584
M36,male,right,c,22.26,14.32,7.98,17.53466667,2873,2.873,0.003480682,3.480682214,0.0672,0.0172,0.05,4.0859,0.4519,0.2107,0.110599868
M37,male,right,c,20.09,12.57,7.47,17.215,2108,2.108,0.004743833,4.743833017,0.0574,0.024233333,0.033166667,3.3075,0.4133,0.2079,0.124958428
F1,female,left,s,17.29,11.1,6.07,14.754,2659,2.659,0.003760812,3.760812335,0.035866667,0.012766667,0.0231,2.5019,0.2158,0.1073,0.086254447
F2,female,left,s,14.84,7.36,4.13,11.38833333,5085,5.085,0.001966568,1.966568338,0.0195,0.007366667,0.012133333,1.3958,0.0912,0.0408,0.065338874
F3,female,left,s,20.83,13.31,7.32,16.32433333,2340,2.340,0.004273504,4.273504274,0.059733333,0.021,0.038733333,3.9391,0.3613,0.1952,0.091721459
F4,female,left,s,16.25,9.23,5.09,12.146,2318,2.318,0.004314064,4.314063848,0.0242,0.007766667,0.016433333,1.6886,0.1446,0.0695,0.085633069
F5,female,left,s,17.91,10.76,6.21,13.97533333,2842,2.842,0.003518649,3.518648839,0.038066667,0.012466667,0.0256,2.2741,0.2342,0.114,0.102985797
F6,female,left,s,17.02,9.72,5.08,13.211,2487,2.487,0.004020909,4.020908725,0.0241,0.0082,0.0159,1.8105,0.1503,0.0676,0.083015742
F7,female,left,s,16.35,9.21,5.12,12.43433333,3077,3.077,0.003249919,3.249918752,0.021833333,0.007333333,0.0145,1.6555,0.1391,0.0633,0.084022954
F8,female,left,s,18.27,10.57,5.85,13.85533333,2425,2.425,0.004123711,4.12371134,0.0342,0.011966667,0.022233333,2.4502,0.2152,0.1021,0.087829565
F9,female,left,s,19.47,11.54,6.58,14.579,3671,3.671,0.002724053,2.724053391,0.0431,0.014566667,0.028533333,3.1814,0.2746,0.1429,0.086314201
F10,female,left,s,17.49,9.95,5.36,12.70766667,3377,3.377,0.002961208,2.961208173,0.029766667,0.010966667,0.0188,2.2143,0.1858,0.0851,0.083909136
F11,female,left,s,17.75,10.82,5.71,13.963,3004,3.004,0.003328895,3.328894807,0.030466667,0.0124,0.018066667,2.1735,0.2013,0.1006,0.092615597
F12,female,left,s,17.17,9.53,5.28,12.58533333,2456,2.456,0.004071661,4.071661238,0.025666667,0.009266667,0.0164,1.9581,0.1645,0.0742,0.08401001
F13,female,left,s,17.6,10.16,9.53,13.39733333,2661,2.661,0.003757986,3.75798572,0.033433333,0.010866667,0.022566667,2.2406,0.205,0.1004,0.09149335
F14,female,left,s,16.09,8.82,5.19,11.049,2724,2.724,0.003671072,3.671071953,0.021233333,0.007366667,0.013866667,1.4902,0.1378,0.0656,0.092470809
F15,female,left,s,19.14,11.29,6.44,14.50533333,2263,2.263,0.004418913,4.418912947,0.0387,0.015133333,0.023566667,2.7846,0.2592,0.1328,0.093083387
F16,female,left,s,16.93,10.13,4.98,11.507,2832,2.832,0.003531073,3.531073446,0.0259,0.009566667,0.016333333,1.7723,0.1646,0.0795,0.092873667
F17,female,left,s,19.88,11.51,6.58,14.62233333,2041,2.041,0.004899559,4.89955904,0.042566667,0.0145,0.028066667,3.2132,0.2678,0.131,0.083343707
F18,female,left,s,21.37,13.83,7.3,16.82833333,2564,2.564,0.003900156,3.900156006,0.053366667,0.0183,0.035066667,3.6632,0.3891,0.2095,0.106218607
F20,female,left,s,16.6,10.17,5.34,12.23633333,2370,2.370,0.004219409,4.219409283,0.0255,0.008566667,0.016933333,1.5862,0.1736,0.0846,0.109443954
F21,female,left,s,17.16,10.17,5.42,12.88333333,2218,2.218,0.004508566,4.508566276,0.028,0.010666667,0.017333333,1.7726,0.162,0.0832,0.091391177
F22,female,left,s,18.45,10.96,6.03,14.12766667,1671,1.671,0.00598444,5.984440455,0.0329,0.011433333,0.021466667,2.3384,0.2107,0.1043,0.090104345
F23,female,left,s,18.21,10.88,5.69,13.89766667,2657,2.657,0.003763643,3.763643207,0.030133333,0.011166667,0.018966667,2.3082,0.2067,0.1088,0.089550299
F24,female,left,s,20.87,12.05,6.93,15.66533333,1932,1.932,0.005175983,5.175983437,0.046,0.013333333,0.032666667,3.1219,0.297,0.1495,0.095134373
F25,female,left,s,16.99,10.44,5.65,13.091,2074,2.074,0.004821601,4.821600771,0.027566667,0.009333333,0.018233333,1.9519,0.2061,0.1063,0.105589426
F26,female,left,s,19.34,11.12,6.27,14.47666667,1968,1.968,0.005081301,5.081300813,0.033933333,0.0132,0.020733333,2.4783,0.2366,0.1187,0.095468668
